"UID","Name","Documentation"
"_2024x_8710274_1717680274694_162060_14786", "SAF_C2_CSTD_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Common Domain/Common Standards Definition Viewpoint'>Common Standards Definition Viewpoint</A><BR>Purpose:<BR>The Standards Definition Viewpoint supports the definition of applicable standards;and their relationships; e.g.;for format and protocol specifications;regulations;and engineering documents that are used throughout the system life cycle. It provides the meta-data for the applied standards;guidance and policy;e.g.;issue;version;issue date;and publisher. The Viewpoint helps to keep track of changes to the set of applicable documents and of new versions of applied standards. Links should be used to refer to documents external to the architecture description.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring the taxonomy of types of standards; applicable to the system of interest;or parts of the system of interest. The Standards are represented by packages which allows to use them in model libraries and put e.g. reusable interface definitions;or terms complying to the standard into the package</li><li>A table format listing standards;applicable to the system of interest or parts of it;their relationships and the relation to which parts of the system the standards apply</li></UL></html>"
"_2021x_2_8710274_1697453280481_761317_28570", "SAF_C2_GRID", "<html>Implementation of SAF Concepts  <ul><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_8710274_1696576589232_543559_24371'>Grid Definition Viewpoint</A></LI><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_8710274_1697453616439_929610_29143'>Grid</A></LI><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_8710274_1697453884307_467076_29314'>GDcontainingVP</A></LI><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_8710274_1697454168635_705915_29452'>GDcontainingAT</A></LI><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_8710274_1697454194125_161227_29476'>GDcontainingDN</A></LI></ul></html>"
"_2024x_26f0132_1719141205004_162437_25125", "SAF_C2_GRID_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Common Domain/Grid Definition Viewpoint'>Grid Definition Viewpoint</A><BR>Purpose:<BR>The Grid Definition Viewpoint serves as overview about the of the Views present in a System Model.<BR>Presentations:<BR> <UL><li>A content diagram featuring a matrix view for the SAF Viewpoint conceptual model: Rows represent Domains;and columns represent Aspects;and the cells manage the Views.</li><li>A table featuring the saf viewpoints;the views (diagrams;tables;..) of the system model conforming to those viewpoints;domain and aspect information</li></UL></html>"
"_2021x_2_8710274_1701349840148_646810_89384", "SAF_C2_TRMD_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Common Domain/Common Terms Definition Viewpoint'>Common Terms Definition Viewpoint</A><BR>Purpose:<BR>The Common Terms Definition Viewpoint supports the definition of applicable terms used in standards or defined during the systems engineering activities.<BR>Presentations:<BR> <UL><li>A table format listing terms included in glossaries;or standards if applicable.</li><li>A table format listing abbreviations included in glossaries;orstandards if applicable.</li></UL></html>"
"_2024x_8710274_1715874592986_911669_15868", "SAF_C7_PRND_Table", "<html>Not implementing a concept</html>"
"_2024x_2_26f0132_1757586882201_912675_456", "SAF_C8_EATR", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Common Domain/EA Traceability Viewpoint'>EA Traceability Viewpoint</A><BR>Purpose:<BR>The EA Traceability Viewpoint provides a mapping between SAF System Model elements and model elements of an upper Enterprise Architecture (EA) Model. The mapping is accomplished by three kinds of relations - a representation relation which states that an element of the SAF System Model and the related model element in the EA model represents the same entity. - a derivation relation;stating that an element of the SAF System Model is derived from an EA model element. - an informed relation;stating that an element of the  SAF System Model is related to the respective EA Element. <BR>Presentations:<BR> <UL><li>One or more mapping matrices representing EA model elements and SAF model elements and their represents;derive and inform relations.</li><li>One or more tables containing EA model elements;SAF model elements and the represents;derivation and informs relations.</li><li>One or more BDD containing EA model elements;SAF model elements and the  represents;derivation and informs relations.</li></UL></html>"
"_2024x_2_26f0132_1757423193639_473235_10", "SAF_C8_EATR_Matrix", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Common Domain/EA Traceability Viewpoint'>EA Traceability Viewpoint</A><BR>Purpose:<BR>The EA Traceability Viewpoint provides a mapping between SAF System Model elements and model elements of an upper Enterprise Architecture (EA) Model. The mapping is accomplished by three kinds of relations - a representation relation which states that an element of the SAF System Model and the related model element in the EA model represents the same entity. - a derivation relation;stating that an element of the SAF System Model is derived from an EA model element. - an informed relation;stating that an element of the  SAF System Model is related to the respective EA Element. <BR>Presentations:<BR> <UL><li>One or more mapping matrices representing EA model elements and SAF model elements and their represents;derive and inform relations.</li><li>One or more tables containing EA model elements;SAF model elements and the represents;derivation and informs relations.</li><li>One or more BDD containing EA model elements;SAF model elements and the  represents;derivation and informs relations.</li></UL></html>"
"_2024x_2_26f0132_1757423370722_685247_31", "SAF_C8_EATR_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Common Domain/EA Traceability Viewpoint'>EA Traceability Viewpoint</A><BR>Purpose:<BR>The EA Traceability Viewpoint provides a mapping between SAF System Model elements and model elements of an upper Enterprise Architecture (EA) Model. The mapping is accomplished by three kinds of relations - a representation relation which states that an element of the SAF System Model and the related model element in the EA model represents the same entity. - a derivation relation;stating that an element of the SAF System Model is derived from an EA model element. - an informed relation;stating that an element of the  SAF System Model is related to the respective EA Element. <BR>Presentations:<BR> <UL><li>One or more mapping matrices representing EA model elements and SAF model elements and their represents;derive and inform relations.</li><li>One or more tables containing EA model elements;SAF model elements and the represents;derivation and informs relations.</li><li>One or more BDD containing EA model elements;SAF model elements and the  represents;derivation and informs relations.</li></UL></html>"
"_2021x_2_6d8019d_1674232165465_734664_23246", "SAF_Claim", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167080_274533_23363'>Claim</A></html>"
"_2021x_2_6d8019d_1674232165481_295568_23274", "SAF_ClaimAboutSubjectMaking", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167083_240422_23373'>CLMbeingMadeAboutSBC</A></html>"
"_2021x_2_6d8019d_1687619081355_443463_25050", "SAF_ClaimClaimableItemSupport", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167084_618602_23374'>CLMsupportingCIM</A></html>"
"_2021x_2_6d8019d_1674232165471_339910_23255", "SAF_ClaimSubject", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167083_587567_23372'>Subject of Claim</A></html>"
"_2021x_2_6d8019d_1674232165482_924684_23277", "SAF_ClaimableItem", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167079_323900_23362'>Claimable Item</A></html>"
"_2021x_2_6d8019d_1688225145328_197291_24223", "SAF_Claimant", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167082_68281_23367'>Claimant</A></html>"
"_2021x_2_6d8019d_1674232165478_345466_23268", "SAF_ClaimantClaimMaking", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167083_795162_23371'>CLTmakingCLM</A></html>"
"_2021x_2_6d8019d_1692273490109_662219_24437", "SAF_ConceptualInterfaceDefinition", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_26f0132_1562303524176_900081_91027'>Logical Interaction Point Definition</A></html>"
"_2024x_4c5019a_1727777600435_428401_14", "SAF_Confidentiality", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1727770091854_264005_90'>Confidentiality</A></html>"
"_2024x_1_26f0132_1729185092432_155560_16027", "SAF_ConformsStandard", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_1_26f0132_1729184481488_984688_15862'>ASFconformToSTD</A></html>"
"_2024x_4c5019a_1726421761881_744492_308", "SAF_Consequence", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1726422601254_223976_195'>Consequence</A></html>"
"_2021x_2_8710274_1676920197680_884628_29235", "SAF_ContextAction", "<html>Not implementing a concept</html>"
"_19_0_3_6d8019d_1599386889842_487820_471", "SAF_ContextElementRepresentation", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_26f0132_1576255436585_904360_55710'>SCErepresentedBySSH</A></html>"
"_19_0_4_6d8019d_1624825970650_773062_2087", "SAF_ContextFunction", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_4_26f0132_1624611972707_746294_1003'>Context Function</A></html>"
"_2021x_2_6d8019d_1674232165473_600709_23259", "SAF_CounterClaim", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167081_446328_23366'>CounterClaim</A></html>"
"_2021x_2_6d8019d_1674232165483_312955_23278", "SAF_CounterClaimClaimableItemMaking", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167084_655777_23375'>CCMcounteringCIM</A></html>"
"_2024x_26f0132_1719737905318_641589_28831", "SAF_D2_CCND", "<html>Not implementing a concept</html>"
"_2021x_2_8710274_1702027432699_857546_20465", "SAF_D2_COTD", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/SAF Development Domain/Framework Concept Definition Viewpoint'>Framework Concept Definition Viewpoint</A><BR>Purpose:<BR>The Framework Concept Viewpoint allows to define SE concepts and their relationships to be supported by the SAF. It shall specifiy * the concepts with comprehensive documentation * the relationships of concepts with comprehensive documentation and allowable multiplicities * constraints among relations and concepts if applicable.  The viewpoint is intended to be used for development or extension of the SAF.<BR>Presentations:<BR> <UL><li>A Block Definition Diagram (BDD)  featuring elements of SCM_Concept representing SE concepts to be supported by SAF. SCM_Concept can be classes of items and relations between items. It is also possible to create relations to relations (SCM_Concepts can be Classes;Associations and Association Classes). For relational concepts;it is reqired to display the direction;and to define the multiplicities. See SAF Development Guide for details on concept modeling conventions</li><li>A table featuring SCM_Concepts and their descriptions. In case of relational concepts the related concepts are shown also.</li></UL></html>"
"_2024x_26f0132_1719737475680_936292_28621", "SAF_D2_COTD_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/SAF Development Domain/Framework Concept Definition Viewpoint'>Framework Concept Definition Viewpoint</A><BR>Purpose:<BR>The Framework Concept Viewpoint allows to define SE concepts and their relationships to be supported by the SAF. It shall specifiy * the concepts with comprehensive documentation * the relationships of concepts with comprehensive documentation and allowable multiplicities * constraints among relations and concepts if applicable.  The viewpoint is intended to be used for development or extension of the SAF.<BR>Presentations:<BR> <UL><li>A Block Definition Diagram (BDD)  featuring elements of SCM_Concept representing SE concepts to be supported by SAF. SCM_Concept can be classes of items and relations between items. It is also possible to create relations to relations (SCM_Concepts can be Classes;Associations and Association Classes). For relational concepts;it is reqired to display the direction;and to define the multiplicities. See SAF Development Guide for details on concept modeling conventions</li><li>A table featuring SCM_Concepts and their descriptions. In case of relational concepts the related concepts are shown also.</li></UL></html>"
"_2024x_26f0132_1719738093050_603021_28974", "SAF_D2_STKD_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/SAF Development Domain/Framework Stakeholder and Concern Definition Viewpoint'>Framework Stakeholder and Concern Definition Viewpoint</A><BR>Purpose:<BR>The Framework Stakeholder Viewpoint provides definitions for Architecture Framework Stakeholders having an interest in SAF Viewpoints. The Interest is formulated using Concerns. A Rationale formulates why a Stakeholder has a certain concern.  The viewpoint is intended to be used for development or extension of the SAF.<BR>Presentations:<BR> <UL><li>A Block Definition Diagram (BDD) featuring *SCM_VPStakeholder* elements;and inheritance relationships if applicable.</li><li>A matrix featuring SCM_VPStakeholder elements and SCM_VPConcern elements as rows and columns;and a marking in cells where a SCM_ConcernRationale connects a stakeholder with a concern.</li><li>A table featuring the SCM_ConcernRationales that connect SCM_VPStakeholders and SCM_VPConcerns;and the rationales documentation.</li><li>A table featuring *SCM_VPStakeholder* elements;their documentation; the *SCM_VPConcern* elements representing the concerns of the stakeholders regarding to SAF Viewpoints;and The SCM_Rationale Elements.</li></UL></html>"
"_2024x_26f0132_1719738142966_985767_29029", "SAF_D2_STYD_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/SAF Development Domain/Framework Stereotype Overview Viewpoint'>Framework Stereotype Overview Viewpoint</A><BR>Purpose:<BR>The Framework Stereotype Viewpoint provides an overview over all stereotypes provided by SAF.<BR>Presentation:<BR>A table featuring the stereotypes of the SAF profile and their documentation.</html>"
"_2024x_26f0132_1719737475678_685392_28619", "SAF_D2_VPTD", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/SAF Development Domain/Framework Viewpoint Definition Viewpoint'>Framework Viewpoint Definition Viewpoint</A><BR>Purpose:<BR>The Framework Viewpoint Definition Viewpoint serves as a specification for any SAF viewpoints in the context of the development of SAF. The Viewpoint shall specify * an example of a conforming view  * purpose  * applicability   * exposed concepts; * presentation forms for the conforming views  * related viewpoints  * stereotypes used in the conforming views  The viewpoint is intended to be used for development or extension of the SAF.<BR>Presentation:<BR>A View and Viewpoints Diagram featuring one *SCM Viewpoint* Element;one *SCM_View* element;a *conform* relationship among them. Additionally all *SCM_Concept* elements that are of interest in the viewpoint. Additionally *expose* relationships for all concepts that help satisfy the viewpoints concerns. Note;that the consequence of exposing a concept is;that the implementation of the concept must appear in the diagram/table/matrix that implements the viewpoint.</html>"
"_2024x_26f0132_1719737520846_727143_28649", "SAF_D2_VPTI", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/SAF Development Domain/Framework Viewpoint Implementation Viewpoint'>Framework Viewpoint Implementation Viewpoint</A><BR>Purpose:<BR>The Framework Viewpoint Implementation Viewpoint defines the implementation of SE concepts exposed by SAF Viewpoints. It serves as the basis for profile implementations of SAF. It shall specify * for each exposed concept an implementation * an implementation for each presentation of the viewpoint * full traceability from implementation   The viewpoint is intended to be used for development or extension of the SAF.<BR>Presentation:<BR>A Profile Diagram featuring SCM_Concept elements for the exposed concepts of a viewpoint;stereotypes from the SAF Profile implementing the concepts;and SCM_RealizeConcept relationships tracing the implementation to the implemented concept. If concepts are implemented directly by UML Metaclasses or by SysML profile elements;they shall be shown on the diagram and related to the concepts. There are additional relationships SCM_Attribute;SCM_TypedBy and SCM_ContainedIn;that can be used to specify details of the implementation;e.g. if a concept is to be implemented by the fact that one element is part of an other element. Please see the SAF Development Guide how to do this.</html>"
"_2024x_26f0132_1719737521935_491979_28659", "SAF_D2_VPTO", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/SAF Development Domain/Framework Viewpoint Overview Viewpoint'>Framework Viewpoint Overview Viewpoint</A><BR>Purpose:<BR>The Framework Viewpoint Overview Viewpoint provides an overview about the Viewpoints in SAF from a SAF Developers perspective. It shall specify * the viewpoints available * their location in the grid by domain and aspect * their maturity of development   The viewpoint is intended to be used for development or extension of the SAF.<BR>Presentations:<BR> <UL><li>A content diagram  featuring a graphical grid representation containing graphical representations of the aspects;domains;and viewpoints available in the framework.</li><li>A table featuring the frameworks viewpoints;the domains;aspects;viewpoint implementation diagrams and maturity.</li></UL></html>"
"_2024x_26f0132_1719738460476_855266_29208", "SAF_D2_VPTO_Table", "<html>Implementation of SAF Concepts  <ul><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_26f0132_1719735639638_993311_27196'>Framework Viewpoint Overview Viewpoint</A></LI><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_8710274_1697454168635_705915_29452'>GDcontainingAT</A></LI><LI><A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_8710274_1697454194125_161227_29476'>GDcontainingDN</A></LI></ul></html>"
"_2024x_2_26f0132_1757002702622_804051_15213", "SAF_DerivedFromEA", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_2_26f0132_1757421734076_475755_1298'>derives from</A></html>"
"_2024x_26f0132_1718451954698_578645_28046", "SAF_Diagram", "<html>Not implementing a concept</html>"
"_19_0_2_26f0132_1562309311661_472964_142997", "SAF_DocumentReference", "<html>Not implementing a concept</html>"
"_19_0_3_26f0132_1614938958203_459716_5653", "SAF_DomainKind", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_2_26f0132_1561753378434_784618_50481'>System Domain Kind</A></html>"
"_19_0_4_6d8019d_1632170657124_127768_451", "SAF_DomainKindComposition", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_4_6d8019d_1632170395135_344484_397'>composed of</A></html>"
"_19_0_4_26f0132_1631285127577_990399_5297", "SAF_DomainKindDerivation", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_19_0_4_26f0132_1631284129545_438782_4876'>deriving from</A></html>"
"_2024x_4c5019a_1726421646707_39826_295", "SAF_Effect", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2024x_4c5019a_1729856541482_59473_223'>CON has Effect On AA</A></html>"
"_2021x_2_6d8019d_1674232165469_125342_23251", "SAF_Evidence", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167081_609406_23365'>Evidence</A></html>"
"_2021x_2_6d8019d_1674232165474_404920_23262", "SAF_EvidenceArgumentReinforcement", "<html>Implementation of SAF Concept <A HREF='https://saf.gfse.org/devdoc/concepts.html#_2021x_2_6d8019d_1674232167082_51450_23369'>EVCreinforcingAGT</A></html>"
"_19_0_2_26f0132_1567115071113_47392_54955", "SAF_Example", "<html>Not implementing a concept</html>"
"_19_0_4_6d8019d_1618591731111_585346_2477", "SAF_F1_SCXD", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Context Definition Viewpoint'>System Context Definition Viewpoint</A><BR>Purpose:<BR>The System Context Definition Viewpoint defines how the SOI is embedded in its environment;i.e.;where the boundary of the SOI is and who the external entities are the SOI interacts with (e.g.;users;other external systems;environmental conditions;etc.).  In addition;the System Context Definition Viewpoint serves as architecture concept to demonstrate how the architecture description defined in the Operational Context Definition Viewpoint is realized.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring the following elements * a Logical element block representing SOI in the logical domain * a Logical context block representing the addressed context in the logical domain * Logical context element blocks for each relevant context element * a composition relationship from context block to each context element used in the context * a composition relationship from context block to the SOI</li><li>A tabular format listing context roles;context elements;and respective descriptions.</li></UL></html>"
"_2024x_26f0132_1718445860250_114816_23014", "SAF_F1_SCXD_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Context Definition Viewpoint'>System Context Definition Viewpoint</A><BR>Purpose:<BR>The System Context Definition Viewpoint defines how the SOI is embedded in its environment;i.e.;where the boundary of the SOI is and who the external entities are the SOI interacts with (e.g.;users;other external systems;environmental conditions;etc.).  In addition;the System Context Definition Viewpoint serves as architecture concept to demonstrate how the architecture description defined in the Operational Context Definition Viewpoint is realized.<BR>Presentations:<BR> <UL><li>A block definition diagram (BDD) featuring the following elements * a Logical element block representing SOI in the logical domain * a Logical context block representing the addressed context in the logical domain * Logical context element blocks for each relevant context element * a composition relationship from context block to each context element used in the context * a composition relationship from context block to the SOI</li><li>A tabular format listing context roles;context elements;and respective descriptions.</li></UL></html>"
"_19_0_4_6d8019d_1618081524318_206808_1303", "SAF_F1_SCXE", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Context Exchange Viewpoint'>System Context Exchange Viewpoint</A><BR>Purpose:<BR>The System Context Exchange Viewpoint serves for the identification and definition of external interfaces of the SOI that are used to interact;e.g.;users;external systems;and other external entities defined in the given context of the SOI. The System Context Exchange Viewpoint * identifies system interfaces on a functional level;* states to which external entities the system interfaces are connected to;* and defines the usage of interfaces;e.g.;when only a subset of the interface is used.<BR>Presentations:<BR> <UL><li>An internal block diagram (IBD) - associated to a system context - featuring the SOI;the system context elements;and the connectors for each identified interface from SOI to the respective context elements. An interface is an interaction point for interaction of the SOI to with context elements. Item flows are defined for each exchange on the identified interface. Connectors/ports may contain reference to the interface documents if applicable. Ports may be structured as appropriate to manage and structure the information. Note: more than one IBD focused on different areas of interest may be used in oder to keep the view comprehensive. Depending on the Stakeholder concerns the item exchange information might be suppressed.</li><li>A tabular format listing the identified interfaces of the soi (ports);referencing interface definitions (port types) ,connections (connector) to system context elements;and information exchange (item flows) conveyed over these connections. It is advised to have multiple tables focusing on certain aspects to keep the view comprehensive;e.g. table focusing on contexts or on certain interface partners.</li></UL></html>"
"_2024x_26f0132_1718445081588_464851_22944", "SAF_F1_SCXE_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Context Exchange Viewpoint'>System Context Exchange Viewpoint</A><BR>Purpose:<BR>The System Context Exchange Viewpoint serves for the identification and definition of external interfaces of the SOI that are used to interact;e.g.;users;external systems;and other external entities defined in the given context of the SOI. The System Context Exchange Viewpoint * identifies system interfaces on a functional level;* states to which external entities the system interfaces are connected to;* and defines the usage of interfaces;e.g.;when only a subset of the interface is used.<BR>Presentations:<BR> <UL><li>An internal block diagram (IBD) - associated to a system context - featuring the SOI;the system context elements;and the connectors for each identified interface from SOI to the respective context elements. An interface is an interaction point for interaction of the SOI to with context elements. Item flows are defined for each exchange on the identified interface. Connectors/ports may contain reference to the interface documents if applicable. Ports may be structured as appropriate to manage and structure the information. Note: more than one IBD focused on different areas of interest may be used in oder to keep the view comprehensive. Depending on the Stakeholder concerns the item exchange information might be suppressed.</li><li>A tabular format listing the identified interfaces of the soi (ports);referencing interface definitions (port types) ,connections (connector) to system context elements;and information exchange (item flows) conveyed over these connections. It is advised to have multiple tables focusing on certain aspects to keep the view comprehensive;e.g. table focusing on contexts or on certain interface partners.</li></UL></html>"
"_19_0_4_6d8019d_1617380348210_24096_555", "SAF_F1_SUCD", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Use Case Viewpoint'>System Use Case Viewpoint</A><BR>Purpose:<BR>The System Use Case Viewpoint provides an outside view on the system functionality from the perspective of the system users and contributes to the definition of system requirements and system usage. The intended system use may be captured as free-text use case description;as well as storytelling approach on a coarse level of detail. The main system exchange partners participating in the intended system use are identified. System use cases are related to a specific system context. System use cases are derived from operational scenarios elaborated during mission analysis.<BR>Presentations:<BR> <UL><li>A use case diagram featuring model elements representing System Use Cases;System Context;and System Context Elements. The System Context shall be used as subject of the use case. The System Context Elements playing a Role in the Use Case shall be connected to the Use Case by associations. Note: System Use Case pre- and postconditions shall be represented either by callout or compartment notation. Relationship to operational stories can be related to the use case in order trace to mission analysis.</li><li>A tabular format listing the System Use Cases;the System Use Case pre- and postconditions;the System Context;and the System Context Elements. Additionaly;the relationship to operational stories;if applicable.</li></UL></html>"
"_2024x_26f0132_1718444814950_893924_22854", "SAF_F1_SUCD_Table", "<html>Implementation of <A HREF='https://saf.gfse.org/userdoc/Functional Domain/System Use Case Viewpoint'>System Use Case Viewpoint</A><BR>Purpose:<BR>The System Use Case Viewpoint provides an outside view on the system functionality from the perspective of the system users and contributes to the definition of system requirements and system usage. The intended system use may be captured as free-text use case description;as well as storytelling approach on a coarse level of detail. The main system exchange partners participating in the intended system use are identified. System use cases are related to a specific system context. System use cases are derived from operational scenarios elaborated during mission analysis.<BR>Presentations:<BR> <UL><li>A use case diagram featuring model elements representing System Use Cases;System Context;and System Context Elements. The System Context shall be used as subject of the use case. The System Context Elements playing a Role in the Use Case shall be connected to the Use Case by associations. Note: System Use Case pre- and postconditions shall be represented either by callout or compartment notation. Relationship to operational stories can be related to the use case in order trace to mission analysis.</li><li>A tabular format listing the System Use Cases;the System Use Case pre- and postconditions;the System Context;and the System Context Elements. Additionaly;the relationship to operational stories;if applicable.</li></UL></html>"
